                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     21,                0.77246,                 1.1426,                 1.1227,                0.41287,                0.89365,                0.78667,                0.60873,                0.76335,                 2.9139,                 1.3384,             0.00074431,             0.00074431,             0.00074431
                     22,                0.76736,                 1.0969,                 1.1415,                0.64816,                   0.75,                0.86167,                0.63401,                0.84266,                 3.0052,                 1.3718,             0.00077872,             0.00077872,             0.00077872
                     23,                0.83762,                 1.1262,                 1.1684,                0.67383,                   0.75,                 0.8075,                0.62936,                0.88127,                 2.8642,                 1.4884,             0.00081297,             0.00081297,             0.00081297
                     24,                0.74697,                 1.0659,                 1.0903,                0.69041,                0.91356,                   0.92,                0.69754,                0.94793,                 2.8426,                 1.7005,             0.00084708,             0.00084708,             0.00084708
                     25,                0.77703,                 1.0423,                 1.1175,                0.70626,                0.96148,                  0.945,                0.71131,                0.94184,                 2.2882,                  1.713,             0.00088104,             0.00088104,             0.00088104
                     26,                0.78712,                 1.0533,                 1.1292,                0.75635,                0.98053,                   0.92,                0.73859,                0.88327,                 2.0732,                 1.6338,             0.00091486,             0.00091486,             0.00091486
                     27,                0.84167,                 1.1996,                  1.169,                0.79277,                0.97513,                   0.92,                0.72461,                0.99439,                 2.0939,                 1.7036,             0.00094852,             0.00094852,             0.00094852
                     28,                0.77151,                 1.0638,                 1.0948,                0.76704,                0.88112,                0.89083,                0.63823,                 1.2088,                 2.2759,                 1.8615,             0.00098204,             0.00098204,             0.00098204
                     29,                0.75925,                0.97707,                 1.0898,                0.76704,                0.88112,                0.89083,                0.63823,                 1.2088,                 2.2759,                 1.8615,              0.0010154,              0.0010154,              0.0010154
                     30,                0.88625,                 1.1532,                  1.228,                0.68175,                 0.8852,                0.86021,                0.58761,                 1.3667,                 2.5923,                 2.0452,              0.0010486,              0.0010486,              0.0010486
                     31,                0.82142,                 1.0434,                 1.1581,                0.65528,                   0.75,                0.81217,                0.55439,                  1.217,                 3.1603,                 1.8336,              0.0010817,              0.0010817,              0.0010817
                     32,                0.81689,                 1.1044,                 1.1437,                0.73084,                 0.9907,                0.72967,                0.53291,                0.97358,                 2.8432,                 1.5335,              0.0011146,              0.0011146,              0.0011146
                     33,                0.82824,                 1.0672,                 1.1457,                0.73084,                 0.9907,                0.72967,                0.53291,                0.97358,                 2.8432,                 1.5335,              0.0011474,              0.0011474,              0.0011474
                     34,                0.91906,                 1.1025,                 1.1524,                0.60898,                0.86107,                0.72967,                0.53006,                0.96847,                 2.7963,                 1.5678,              0.0011683,              0.0011683,              0.0011683
                     35,                0.80738,                0.99123,                 1.1328,                0.55879,                0.71216,                0.68036,                0.48952,                 1.1147,                 2.5948,                 1.5373,              0.0011683,              0.0011683,              0.0011683
                     36,                0.83845,                 1.1029,                 1.1356,                 0.5678,                   0.75,                0.74583,                0.37979,                   1.49,                 2.7437,                 1.8854,              0.0011658,              0.0011658,              0.0011658
                     37,                0.83974,                 1.1005,                 1.1236,                 0.5678,                   0.75,                0.74583,                0.37979,                   1.49,                 2.7437,                 1.8854,              0.0011634,              0.0011634,              0.0011634
                     38,                0.98173,                 1.2677,                 1.2167,                0.45489,                0.84636,                 0.6266,                0.33105,                  1.456,                 2.8324,                 1.8552,              0.0011609,              0.0011609,              0.0011609
                     39,                0.85276,                 1.0607,                 1.1032,                0.74241,                  0.875,                 0.7875,                0.52588,                 1.1043,                 2.5601,                 1.5664,              0.0011584,              0.0011584,              0.0011584
                     40,                0.89484,                 1.1598,                 1.2438,                0.79451,                0.85102,                   0.92,                0.68128,                 1.0663,                 2.4578,                 1.6071,              0.0011559,              0.0011559,              0.0011559
                     41,                0.80346,                 1.1055,                 1.1367,                0.79451,                0.85102,                   0.92,                0.68128,                 1.0663,                 2.4578,                 1.6071,              0.0011535,              0.0011535,              0.0011535
                     42,                0.89829,                 1.1982,                 1.1553,                0.75932,                0.78614,                0.88667,                0.65827,                 1.0272,                 2.8414,                 1.7758,               0.001151,               0.001151,               0.001151
                     43,                0.88338,                 1.0834,                 1.1472,                0.85875,                0.60784,                0.89083,                0.72487,                0.76805,                 2.4892,                 1.4909,              0.0011485,              0.0011485,              0.0011485
                     44,                0.88864,                 1.0488,                 1.1609,                 0.6889,                  0.875,                0.92208,                0.71003,                0.88372,                 2.0545,                 1.4926,              0.0011461,              0.0011461,              0.0011461
                     45,                0.77471,                0.97965,                 1.0968,                 0.6889,                  0.875,                0.92208,                0.71003,                0.88372,                 2.0545,                 1.4926,              0.0011436,              0.0011436,              0.0011436
                     46,                0.82066,                 1.0766,                 1.1328,                0.71972,                      1,                0.80417,                0.58702,                 1.0147,                 1.8985,                 1.4812,              0.0011411,              0.0011411,              0.0011411
                     47,                 0.8345,                 1.0183,                 1.1701,                0.67877,                0.98698,                0.82917,                0.54839,                 1.0911,                 2.0208,                 1.5495,              0.0011386,              0.0011386,              0.0011386
                     48,                0.83618,                 1.0783,                 1.1202,                0.56286,                      1,                0.75417,                 0.5154,                 1.1676,                 3.3415,                 1.7507,              0.0011362,              0.0011362,              0.0011362
                     49,                0.81323,                 1.0404,                 1.1364,                0.56286,                      1,                0.75417,                 0.5154,                 1.1676,                 3.3415,                 1.7507,              0.0011337,              0.0011337,              0.0011337
                     50,                 0.8184,                0.97936,                 1.1574,                0.76881,                  0.625,                0.76091,                0.57633,                 1.1131,                 5.0241,                  1.527,              0.0011312,              0.0011312,              0.0011312
                     51,                0.78777,                0.91849,                 1.0757,                0.56976,                  0.625,                0.61191,                0.44157,                 1.1612,                 5.6556,                  1.631,              0.0011287,              0.0011287,              0.0011287
                     52,                0.90107,                 1.0226,                 1.1976,                0.84964,                  0.375,                0.47489,                 0.3499,                 1.1759,                 5.3882,                 1.7167,              0.0011263,              0.0011263,              0.0011263
                     53,                0.78045,                 1.0289,                 1.1218,                0.84964,                  0.375,                0.47489,                 0.3499,                 1.1759,                 5.3882,                 1.7167,              0.0011238,              0.0011238,              0.0011238
                     54,                0.84707,                 1.0589,                 1.1331,                0.80674,                0.60418,                0.64582,                0.44133,                 1.3113,                 4.5694,                 1.9226,              0.0011213,              0.0011213,              0.0011213
                     55,                0.82671,                0.97427,                 1.1007,                0.89495,                    0.5,                0.42307,                0.28119,                 1.3989,                 3.9241,                 1.9406,              0.0011188,              0.0011188,              0.0011188
                     56,                0.82437,                 1.0308,                 1.1183,                0.58636,                   0.75,                0.52205,                0.33493,                 1.3244,                 3.0727,                 1.8237,              0.0011164,              0.0011164,              0.0011164
                     57,                0.71764,                 0.8956,                 1.0699,                0.58636,                   0.75,                0.52205,                0.33493,                 1.3244,                 3.0727,                 1.8237,              0.0011139,              0.0011139,              0.0011139
                     58,                0.79789,                 0.9469,                 1.1288,                0.68485,                0.99292,                0.88667,                0.67867,                 0.9872,                 2.1679,                 1.3769,              0.0011114,              0.0011114,              0.0011114
                     59,                0.81429,                0.87592,                 1.0884,                0.68512,                      1,                0.88667,                0.64149,                0.96944,                 2.3099,                 1.3663,              0.0011089,              0.0011089,              0.0011089
                     60,                0.80931,                 0.9437,                 1.0886,                0.65427,                0.98654,                0.75417,                0.52395,                0.99134,                 2.7334,                 1.4067,              0.0011065,              0.0011065,              0.0011065
                     61,                0.82596,                0.95937,                   1.13,                0.65427,                0.98654,                0.75417,                0.52395,                0.99134,                 2.7334,                 1.4067,               0.001104,               0.001104,               0.001104
                     62,                0.74962,                0.86417,                 1.0941,                0.65197,                 0.9788,                0.72967,                0.53218,                 1.0045,                 2.7421,                 1.4198,              0.0011015,              0.0011015,              0.0011015
                     63,                0.70283,                0.83138,                 1.0614,                0.66512,                0.98238,                0.72967,                0.53635,                 1.0532,                 2.6194,                 1.4936,               0.001099,               0.001099,               0.001099
                     64,                0.79715,                0.90419,                 1.1338,                0.69509,                      1,                0.72967,                0.53738,                 1.0995,                 2.2671,                 1.6472,              0.0010965,              0.0010965,              0.0010965
                     65,                0.77244,                0.87925,                 1.0854,                0.69509,                      1,                0.72967,                0.53738,                 1.0995,                 2.2671,                 1.6472,              0.0010941,              0.0010941,              0.0010941
                     66,                0.72355,                0.83432,                 1.0409,                0.68078,                      1,                0.86167,                0.63047,                 1.2619,                 2.4831,                 1.7225,              0.0010916,              0.0010916,              0.0010916
                     67,                0.74132,                 0.8116,                 1.0615,                0.71157,                      1,                 0.8955,                0.68661,                  1.172,                 2.0481,                 1.6151,              0.0010891,              0.0010891,              0.0010891
                     68,                0.72443,                0.84619,                 1.0657,                0.72058,                      1,                 0.8955,                0.70524,                0.95165,                 1.7111,                 1.4076,              0.0010866,              0.0010866,              0.0010866
                     69,                0.76203,                0.81524,                 1.1207,                0.72058,                      1,                 0.8955,                0.70524,                0.95165,                 1.7111,                 1.4076,              0.0010842,              0.0010842,              0.0010842
                     70,                0.77355,                0.91646,                 1.0929,                0.85919,                      1,                 0.8955,                0.69286,                0.78453,                 1.7624,                 1.2308,              0.0010817,              0.0010817,              0.0010817
                     71,                0.81948,                0.83031,                 1.0653,                0.70189,                      1,                0.83667,                0.72395,                 0.6757,                  1.671,                 1.0693,              0.0010792,              0.0010792,              0.0010792
                     72,                0.73498,                0.77718,                 1.0518,                0.69734,                      1,                0.75417,                0.67131,                0.66483,                 1.5899,                 1.1245,              0.0010768,              0.0010768,              0.0010768
                     73,                0.78228,                0.80015,                 1.0487,                0.69734,                      1,                0.75417,                0.67131,                0.66483,                 1.5899,                 1.1245,              0.0010743,              0.0010743,              0.0010743
                     74,                0.75392,                0.82602,                 1.0697,                0.68442,                      1,                0.75417,                 0.5984,                 0.7972,                 1.7127,                 1.3759,              0.0010718,              0.0010718,              0.0010718
                     75,                0.85435,                0.87609,                  1.053,                 0.6734,                0.99949,                0.83667,                0.69754,                0.74221,                 1.8961,                 1.3443,              0.0010693,              0.0010693,              0.0010693
                     76,                0.79485,                0.88267,                 1.1045,                0.69205,                      1,                0.81217,                0.64565,                0.73961,                 1.8784,                 1.2452,              0.0010669,              0.0010669,              0.0010669
                     77,                0.77442,                0.83886,                 1.0746,                0.69205,                      1,                0.81217,                0.64565,                0.73961,                 1.8784,                 1.2452,              0.0010644,              0.0010644,              0.0010644
                     78,                0.81799,                0.82538,                 1.1377,                0.70171,                      1,                0.81217,                0.63929,                0.91523,                 2.0974,                 1.4349,              0.0010619,              0.0010619,              0.0010619
                     79,                0.77993,                0.72415,                 1.0874,                0.71371,                      1,                0.81217,                0.59906,                 1.0255,                 2.1538,                 1.6182,              0.0010594,              0.0010594,              0.0010594
                     80,                0.88104,                0.79711,                 1.2093,                0.72791,                      1,                 0.8955,                0.69143,                0.90665,                 1.9411,                 1.5134,               0.001057,               0.001057,               0.001057
                     81,                0.84028,                0.83529,                  1.126,                0.72791,                      1,                 0.8955,                0.69143,                0.90665,                 1.9411,                 1.5134,              0.0010545,              0.0010545,              0.0010545
                     82,                 0.7595,                0.80061,                 1.1043,                0.72587,                      1,                  0.945,                0.73722,                0.84604,                 1.8506,                 1.4272,               0.001052,               0.001052,               0.001052
                     83,                0.76893,                0.79322,                 1.0889,                0.72505,                      1,                  0.945,                0.81164,                0.71423,                 1.8507,                 1.2414,              0.0010495,              0.0010495,              0.0010495
                     84,                0.78221,                 0.7718,                 1.1071,                0.72896,                      1,                0.91167,                0.79746,                0.65692,                 1.5485,                 1.1574,               0.001047,               0.001047,               0.001047
                     85,                0.72046,                0.73893,                 1.0817,                0.72896,                      1,                0.91167,                0.79746,                0.65692,                 1.5485,                 1.1574,              0.0010446,              0.0010446,              0.0010446
                     86,                0.70919,                0.69729,                 1.0431,                0.82878,                0.99789,                0.91167,                0.78829,                0.68632,                 1.5112,                 1.2159,              0.0010421,              0.0010421,              0.0010421
                     87,                0.73851,                0.72421,                 1.0785,                0.82617,                0.98454,                0.82917,                0.70669,                0.76244,                 1.4234,                  1.252,              0.0010396,              0.0010396,              0.0010396
                     88,                0.77059,                0.76034,                 1.1083,                0.81325,                      1,                0.91167,                0.76229,                0.78529,                 1.3768,                 1.2442,              0.0010372,              0.0010372,              0.0010372
                     89,                0.68076,                0.70926,                 1.0683,                0.81325,                      1,                0.91167,                0.76229,                0.78529,                 1.3768,                 1.2442,              0.0010347,              0.0010347,              0.0010347
                     90,                0.74721,                0.73795,                 1.0865,                0.80507,                      1,                0.91167,                0.72916,                0.83282,                 1.4696,                 1.2898,              0.0010322,              0.0010322,              0.0010322
                     91,                0.68658,                0.70847,                  1.059,                0.80596,                      1,                  0.995,                0.82885,                0.79207,                 1.6639,                 1.1634,              0.0010297,              0.0010297,              0.0010297
                     92,                0.66615,                0.75803,                 1.0281,                0.80053,                      1,                0.91167,                0.74159,                0.87994,                 1.6945,                 1.3024,              0.0010273,              0.0010273,              0.0010273
                     93,                0.71531,                0.71259,                 1.0429,                0.80053,                      1,                0.91167,                0.74159,                0.87994,                 1.6945,                 1.3024,              0.0010248,              0.0010248,              0.0010248
                     94,                0.75844,                0.76292,                 1.1106,                0.77742,                      1,                0.91167,                0.66787,                0.95158,                 1.7434,                 1.4179,              0.0010223,              0.0010223,              0.0010223
                     95,                0.76045,                0.82672,                 1.1232,                  0.715,                      1,                0.86167,                 0.7253,                 0.8656,                 1.5713,                 1.2776,              0.0010198,              0.0010198,              0.0010198
                     96,                0.72197,                0.66539,                 1.0538,                0.70233,                      1,                0.81217,                0.68192,                0.81713,                  1.392,                 1.1911,              0.0010173,              0.0010173,              0.0010173
                     97,                0.65408,                0.67774,                 1.0704,                0.70233,                      1,                0.81217,                0.68192,                0.81713,                  1.392,                 1.1911,              0.0010149,              0.0010149,              0.0010149
                     98,                0.78437,                 0.7554,                 1.0757,                0.68767,                 0.9982,                0.81217,                0.65788,                0.84376,                 1.4423,                 1.1909,              0.0010124,              0.0010124,              0.0010124
                     99,                0.82639,                0.75878,                 1.1131,                0.68367,                      1,                 0.8955,                0.72034,                0.87473,                 1.4247,                 1.1872,              0.0010099,              0.0010099,              0.0010099
                    100,                0.75552,                0.72363,                 1.0854,                  0.675,                      1,                 0.8955,                0.74458,                0.84453,                  1.472,                 1.1856,              0.0010075,              0.0010075,              0.0010075
                    101,                0.76221,                0.83839,                 1.0973,                  0.675,                      1,                 0.8955,                0.74458,                0.84453,                  1.472,                 1.1856,               0.001005,               0.001005,               0.001005
                    102,                0.75675,                0.74252,                 1.0639,                0.67224,                      1,                0.86167,                 0.7079,                0.86452,                 1.5184,                 1.2367,              0.0010025,              0.0010025,              0.0010025
                    103,                0.73137,                0.69198,                 1.0853,                0.69306,                      1,                0.86167,                0.72163,                0.80307,                 1.5362,                 1.1871,                  0.001,                  0.001,                  0.001
                    104,                0.79886,                0.74515,                 1.1502,                0.71757,                      1,                0.86167,                0.71414,                0.74535,                 1.4061,                 1.0835,             0.00099755,             0.00099755,             0.00099755
                    105,                0.73205,                0.64277,                 1.0426,                0.71757,                      1,                0.86167,                0.71414,                0.74535,                 1.4061,                 1.0835,             0.00099507,             0.00099507,             0.00099507
                    106,                0.70139,                0.66791,                 1.0233,                0.71814,                      1,                0.91167,                0.77178,                0.76588,                 1.3565,                 1.1113,              0.0009926,              0.0009926,              0.0009926
                    107,                0.70628,                0.66642,                 1.0035,                 0.7101,                      1,                0.88667,                0.69065,                0.78975,                 1.3875,                   1.15,             0.00099013,             0.00099013,             0.00099013
                    108,                0.72778,                0.69963,                 1.0363,                 0.7087,                      1,                0.88667,                0.70101,                0.81404,                 1.4425,                 1.1535,             0.00098765,             0.00098765,             0.00098765
                    109,                0.68108,                0.66225,                 1.0243,                 0.7087,                      1,                0.88667,                0.70101,                0.81404,                 1.4425,                 1.1535,             0.00098518,             0.00098518,             0.00098518
                    110,                0.67158,                 0.7087,                 1.0559,                0.69585,                      1,                0.72967,                0.53755,                0.92485,                 1.7593,                 1.2257,              0.0009827,              0.0009827,              0.0009827
                    111,                0.68011,                0.67151,                 1.0221,                 0.6539,                0.98864,                0.72967,                0.51963,                0.93204,                  1.908,                 1.2612,             0.00098022,             0.00098022,             0.00098022
                    112,                0.76468,                0.67323,                 1.0895,                0.67137,                      1,                0.72967,                0.54386,                0.91958,                 1.6406,                 1.2372,             0.00097775,             0.00097775,             0.00097775
                    113,                0.72116,                0.68509,                 1.1152,                0.67137,                      1,                0.72967,                0.54386,                0.91958,                 1.6406,                 1.2372,             0.00097528,             0.00097528,             0.00097528
                    114,                0.74529,                 0.7461,                 1.0408,                0.68982,                      1,                0.72967,                0.56612,                0.94165,                 1.5959,                 1.2491,              0.0009728,              0.0009728,              0.0009728
                    115,                0.75439,                0.68836,                 1.0808,                0.72299,                      1,                0.72967,                0.57915,                 0.9023,                 1.4847,                 1.2371,             0.00097033,             0.00097033,             0.00097033
                    116,                0.70825,                0.68953,                 1.0371,                0.71129,                      1,                0.72967,                0.58034,                0.88771,                 1.4618,                 1.2269,             0.00096785,             0.00096785,             0.00096785
                    117,                0.70083,                0.65204,                 1.0157,                0.71129,                      1,                0.72967,                0.58034,                0.88771,                 1.4618,                 1.2269,             0.00096537,             0.00096537,             0.00096537
                    118,                0.64806,                 0.6558,                 1.0338,                0.69913,                      1,                0.81217,                0.66218,                 0.8965,                 1.5356,                 1.2509,              0.0009629,              0.0009629,              0.0009629
                    119,                0.67315,                0.62832,                 1.0187,                0.68326,                0.88513,                0.81217,                0.64016,                0.88571,                 1.6305,                 1.2722,             0.00096043,             0.00096043,             0.00096043
                    120,                0.65372,                0.60187,                 1.0078,                0.61453,                  0.875,                0.81097,                0.66108,                0.83598,                 1.7461,                 1.2492,             0.00095795,             0.00095795,             0.00095795
                    121,                0.68023,                0.64599,                 1.0922,                0.61453,                  0.875,                0.81097,                0.66108,                0.83598,                 1.7461,                 1.2492,             0.00095548,             0.00095548,             0.00095548
                    122,                0.66674,                0.64769,                 1.0533,                0.70073,                  0.875,                0.75971,                0.62081,                0.82418,                 1.9604,                 1.2369,               0.000953,               0.000953,               0.000953
                    123,                0.67643,                0.67034,                 1.0436,                0.68933,                  0.875,                 0.7575,                0.60822,                0.85314,                 1.9664,                 1.2891,             0.00095053,             0.00095053,             0.00095053
                    124,                0.70425,                0.68447,                 1.0524,                0.67239,                  0.875,                   0.77,                0.63582,                0.81482,                 1.7847,                 1.2873,             0.00094805,             0.00094805,             0.00094805
                    125,                0.65071,                0.57983,                 1.0179,                0.67239,                  0.875,                   0.77,                0.63582,                0.81482,                 1.7847,                 1.2873,             0.00094558,             0.00094558,             0.00094558
                    126,                0.68064,                0.65398,                 1.0608,                0.68704,                0.88465,                0.77917,                0.63318,                0.81798,                 1.5703,                 1.2934,              0.0009431,              0.0009431,              0.0009431
                    127,                0.66247,                0.66631,                 1.0533,                0.71625,                      1,                0.72967,                0.60613,                0.79109,                 1.4229,                 1.2188,             0.00094062,             0.00094062,             0.00094062
                    128,                0.66239,                0.66432,                 1.0394,                0.72235,                      1,                0.75417,                0.62156,                0.83207,                 1.3857,                 1.2432,             0.00093815,             0.00093815,             0.00093815
                    129,                0.67341,                0.65545,                 1.0278,                0.72235,                      1,                0.75417,                0.62156,                0.83207,                 1.3857,                 1.2432,             0.00093567,             0.00093567,             0.00093567
                    130,                0.73895,                0.69138,                 1.0853,                0.71992,                      1,                0.75417,                0.61884,                0.92795,                 1.3848,                 1.2899,              0.0009332,              0.0009332,              0.0009332
                    131,                0.72246,                 0.6616,                 1.0298,                0.72342,                      1,                0.86167,                0.65011,                0.94098,                 1.3896,                 1.3052,             0.00093073,             0.00093073,             0.00093073
                    132,                0.70463,                0.68153,                 1.0599,                 0.7203,                      1,                   0.92,                0.74595,                0.84932,                 1.3838,                  1.197,             0.00092825,             0.00092825,             0.00092825
                    133,                 0.6539,                0.63811,                 1.0002,                 0.7203,                      1,                   0.92,                0.74595,                0.84932,                 1.3838,                  1.197,             0.00092577,             0.00092577,             0.00092577
                    134,                0.63255,                0.61103,                  1.023,                0.68352,                0.99509,                  0.945,                 0.7932,                0.75999,                 1.4095,                  1.163,              0.0009233,              0.0009233,              0.0009233
                    135,                0.63867,                0.63279,                 1.0327,                0.63196,                0.99748,                  0.945,                 0.7932,                0.72962,                 1.4868,                 1.1619,             0.00092083,             0.00092083,             0.00092083
                    136,                0.63684,                0.62684,                 1.0091,                0.69409,                0.88236,                   0.97,                0.81733,                0.72655,                 1.4018,                 1.1486,             0.00091835,             0.00091835,             0.00091835
                    137,                0.64472,                0.63895,                 1.0476,                0.69409,                0.88236,                   0.97,                0.81733,                0.72655,                 1.4018,                 1.1486,             0.00091588,             0.00091588,             0.00091588
                    138,                0.66726,                0.59199,                 1.0193,                0.63395,                0.99693,                   0.92,                0.73702,                 0.7674,                 1.3572,                 1.1654,              0.0009134,              0.0009134,              0.0009134
                    139,                0.61078,                 0.5854,                 0.9983,                0.58604,                0.98941,                   0.97,                0.79852,                0.75458,                 1.4132,                 1.1602,             0.00091092,             0.00091092,             0.00091092
                    140,                0.64024,                0.60594,                  1.019,                0.75747,                  0.875,                   0.87,                0.72685,                0.76505,                 1.5573,                 1.1656,             0.00090845,             0.00090845,             0.00090845
                    141,                0.66055,                0.59032,                 0.9924,                0.75747,                  0.875,                   0.87,                0.72685,                0.76505,                 1.5573,                 1.1656,             0.00090597,             0.00090597,             0.00090597
                    142,                0.60881,                0.58061,                 1.0088,                  0.666,                  0.875,                0.64625,                0.49494,                0.97194,                 1.8848,                  1.299,              0.0009035,              0.0009035,              0.0009035
                    143,                0.66275,                0.61181,                 1.0686,                0.64758,                  0.875,                 0.6275,                 0.4942,                0.89966,                 2.0236,                 1.2707,             0.00090103,             0.00090103,             0.00090103
                    144,                0.69453,                0.62185,                 1.0609,                0.64887,                  0.875,                0.65181,                0.55279,                0.80045,                  1.714,                 1.2565,             0.00089855,             0.00089855,             0.00089855
                    145,                0.69907,                0.63409,                 1.0584,                0.64887,                  0.875,                0.65181,                0.55279,                0.80045,                  1.714,                 1.2565,             0.00089607,             0.00089607,             0.00089607
                    146,                0.61873,                0.59883,                 1.0033,                0.96582,                  0.875,                   0.97,                0.79256,                0.83059,                 1.2336,                  1.252,              0.0008936,              0.0008936,              0.0008936
                    147,                0.60322,                0.62003,                  1.034,                0.94232,                  0.875,                   0.97,                0.78012,                 0.8394,                 1.1754,                 1.2052,             0.00089112,             0.00089112,             0.00089112
                    148,                0.63976,                0.58961,                 1.0144,                0.92144,                  0.875,                   0.97,                0.79663,                0.81251,                  1.297,                 1.1812,             0.00088865,             0.00088865,             0.00088865
                    149,                0.59843,                 0.5546,                0.97695,                0.92144,                  0.875,                   0.97,                0.79663,                0.81251,                  1.297,                 1.1812,             0.00088618,             0.00088618,             0.00088618
                    150,                0.66999,                0.62056,                 1.0641,                0.71323,                      1,                 0.8955,                0.74189,                0.76357,                 1.3376,                 1.1612,              0.0008837,              0.0008837,              0.0008837
                    151,                 0.6059,                0.57423,                0.99473,                0.71285,                      1,                 0.8955,                0.74291,                0.76036,                 1.3052,                 1.1781,             0.00088122,             0.00088122,             0.00088122
                    152,                0.61626,                0.62371,                 0.9917,                0.71035,                      1,                 0.8955,                0.76605,                0.76166,                 1.3095,                 1.2057,             0.00087875,             0.00087875,             0.00087875
                    153,                0.65713,                0.59851,                 1.0243,                0.71035,                      1,                 0.8955,                0.76605,                0.76166,                 1.3095,                 1.2057,             0.00087628,             0.00087628,             0.00087628
                    154,                0.64391,                0.57557,                0.99964,                0.70943,                      1,                 0.8955,                0.74128,                0.75305,                 1.2715,                 1.2165,              0.0008738,              0.0008738,              0.0008738
                    155,                0.62611,                0.57782,                0.99556,                0.71395,                      1,                0.81217,                0.66796,                0.74873,                 1.1515,                 1.2401,             0.00087132,             0.00087132,             0.00087132
                    156,                0.72481,                0.60133,                  1.074,                0.72002,                      1,                0.80417,                 0.6516,                0.76397,                 1.1017,                 1.2706,             0.00086885,             0.00086885,             0.00086885
