                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1723,                  3.244,                  1.479,                0.00716,                      1,                 0.2015,                0.13342,                0.99178,                 3.8149,                 1.5492,                2.5e-05,                2.5e-05,                2.5e-05
                      2,                 1.2558,                 3.2101,                 1.5094,                0.01058,                      1,                0.33062,                 0.2503,                0.85318,                 3.7148,                 1.4077,             6.2376e-05,             6.2376e-05,             6.2376e-05
                      3,                 1.0776,                 3.0801,                 1.3851,                0.02367,                      1,                0.52502,                0.47324,                0.63967,                 3.6332,                 1.1547,             9.9604e-05,             9.9604e-05,             9.9604e-05
                      4,                0.94036,                 2.7797,                 1.2923,                0.05117,                      1,                0.70929,                0.57599,                0.63581,                 3.5421,                 1.0809,             0.00013668,             0.00013668,             0.00013668
                      5,                0.95468,                 2.4143,                 1.2885,                0.04742,                      1,                0.80333,                0.68745,                0.67867,                 3.3541,                 1.0961,             0.00017361,             0.00017361,             0.00017361
                      6,                0.87739,                 2.1082,                 1.2543,                0.04228,                      1,                   0.87,                0.68041,                0.74981,                 3.1976,                 1.2577,              0.0002104,              0.0002104,              0.0002104
                      7,                0.84143,                 1.8298,                 1.2342,                0.03319,                      1,                   0.97,                0.72288,                0.81544,                 3.0284,                 1.3093,             0.00024703,             0.00024703,             0.00024703
                      8,                 0.8954,                  1.762,                 1.2755,                0.02653,                      1,                   0.97,                0.75086,                0.77175,                  3.047,                  1.233,             0.00028352,             0.00028352,             0.00028352
                      9,                0.88821,                 1.6672,                 1.2438,                0.01982,                      1,                  0.995,                0.75285,                0.75419,                 3.0263,                 1.1459,             0.00031985,             0.00031985,             0.00031985
                     10,                0.89008,                 1.5625,                 1.2273,                      1,                0.74424,                  0.995,                0.78373,                0.79488,                 2.8127,                 1.1575,             0.00035604,             0.00035604,             0.00035604
                     11,                0.89039,                  1.547,                 1.2835,                0.86428,                0.91052,                  0.995,                0.76797,                0.79509,                 2.3784,                 1.1903,             0.00039208,             0.00039208,             0.00039208
                     12,                0.82024,                 1.3806,                  1.217,                0.84417,                0.90783,                 0.8955,                0.64668,                0.79128,                 2.3396,                 1.2225,             0.00042797,             0.00042797,             0.00042797
                     13,                0.87247,                  1.306,                 1.1889,                0.62612,                0.95433,                0.81217,                0.62458,                0.93683,                 2.2047,                 1.4207,             0.00046371,             0.00046371,             0.00046371
                     14,                0.94879,                 1.4881,                 1.3335,                0.70022,                0.98361,                0.72967,                0.55128,                0.92884,                 2.1285,                 1.4676,             0.00049931,             0.00049931,             0.00049931
                     15,                0.80503,                 1.3373,                  1.218,                0.74655,                 0.9288,                0.82917,                0.68403,                0.73138,                 2.1448,                 1.1912,             0.00053475,             0.00053475,             0.00053475
                     16,                 0.8986,                  1.302,                 1.2107,                0.81997,                0.68597,                0.74583,                0.59664,                0.77992,                 2.4078,                 1.2321,             0.00057005,             0.00057005,             0.00057005
                     17,                0.83518,                 1.2643,                 1.1529,                0.64085,                0.97942,                0.70417,                0.52439,                0.91643,                 2.0942,                 1.4458,              0.0006052,              0.0006052,              0.0006052
                     18,                0.78765,                 1.2008,                 1.1575,                0.52485,                0.96387,                0.80417,                0.65169,                0.81499,                 2.2078,                 1.3962,              0.0006402,              0.0006402,              0.0006402
                     19,                0.79954,                 1.1478,                 1.1029,                0.48884,                0.91507,                0.77917,                0.62126,                0.81446,                 3.0829,                 1.4981,             0.00067505,             0.00067505,             0.00067505
                     20,                 0.7736,                 1.0754,                 1.1197,                0.39562,                0.89661,                0.77917,                0.61705,                0.75645,                 3.4199,                 1.3475,             0.00070976,             0.00070976,             0.00070976
