                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1723,                  3.244,                  1.479,                0.00716,                      1,                 0.2015,                0.13342,                0.99179,                 3.8149,                 1.5492,                2.5e-05,                2.5e-05,                2.5e-05
                      2,                 1.2717,                 3.2282,                 1.5217,                0.00898,                      1,                0.29713,                0.21452,                0.90032,                 3.7236,                  1.447,             4.1875e-05,             4.1875e-05,             4.1875e-05
                      3,                 1.1405,                 3.1466,                  1.432,                0.01192,                      1,                0.34444,                0.26076,                0.82889,                  3.716,                 1.3615,                3.4e-05,                3.4e-05,                3.4e-05
