                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.86854,                 1.0684,                  1.153,                0.90629,                   0.75,                0.91167,                0.62661,                 1.1125,                 2.0625,                 1.4887,              0.0011164,              0.0011164,              0.0011164
                     57,                 0.7373,                0.95028,                 1.0767,                0.90629,                   0.75,                0.91167,                0.62661,                 1.1125,                 2.0625,                 1.4887,              0.0011139,              0.0011139,              0.0011139
                     58,                0.81093,                 1.0501,                 1.1583,                0.65095,                   0.75,                0.71674,                 0.4994,                 1.0336,                 2.5691,                 1.3526,              0.0011114,              0.0011114,              0.0011114
                     59,                0.78749,                0.95258,                 1.0859,                0.59608,                  0.625,                0.66118,                0.44028,                 1.1651,                 3.1548,                  1.455,              0.0011089,              0.0011089,              0.0011089
                     60,                0.78881,                 1.0691,                 1.0958,                0.50527,                0.82456,                0.64647,                0.37993,                 1.2597,                 2.6371,                 1.5276,              0.0011065,              0.0011065,              0.0011065
                     61,                0.85356,                0.98893,                 1.1768,                0.50527,                0.82456,                0.64647,                0.37993,                 1.2597,                 2.6371,                 1.5276,               0.001104,               0.001104,               0.001104
                     62,                0.73361,                0.91363,                 1.1072,                0.74169,                   0.75,                0.69016,                0.38076,                 1.3947,                 2.3924,                 1.7537,              0.0011015,              0.0011015,              0.0011015
                     63,                 0.7193,                0.87752,                   1.08,                0.66347,                0.98566,                0.77917,                0.40419,                 1.4428,                 2.2182,                 1.9208,               0.001099,               0.001099,               0.001099
                     64,                0.79895,                0.93464,                 1.1635,                0.61169,                   0.75,                   0.77,                0.47499,                 1.5148,                 2.2302,                 1.7868,              0.0010965,              0.0010965,              0.0010965
                     65,                0.73841,                0.88742,                 1.0778,                0.61169,                   0.75,                   0.77,                0.47499,                 1.5148,                 2.2302,                 1.7868,              0.0010941,              0.0010941,              0.0010941
                     66,                0.72915,                0.83247,                 1.0602,                0.70444,                      1,                0.83667,                0.61679,                 1.0401,                  2.108,                 1.3161,              0.0010916,              0.0010916,              0.0010916
                     67,                0.74267,                0.85403,                 1.0713,                0.75605,                      1,                  0.945,                 0.7659,                0.82414,                 1.8471,                 1.1078,              0.0010891,              0.0010891,              0.0010891
                     68,                0.78562,                0.89227,                  1.118,                0.71748,                      1,                   0.92,                0.67527,                 0.7862,                 1.8944,                 1.1368,              0.0010866,              0.0010866,              0.0010866
                     69,                0.76318,                0.86428,                 1.1309,                0.71748,                      1,                   0.92,                0.67527,                 0.7862,                 1.8944,                 1.1368,              0.0010842,              0.0010842,              0.0010842
                     70,                0.79134,                0.94049,                 1.1237,                 0.7191,                      1,                 0.8955,                0.69691,                0.83745,                 1.8473,                 1.1455,              0.0010817,              0.0010817,              0.0010817
                     71,                 0.8077,                0.86787,                 1.0772,                0.70688,                      1,                  0.945,                0.75348,                0.80108,                 1.8655,                 1.1683,              0.0010792,              0.0010792,              0.0010792
                     72,                0.74587,                0.82778,                 1.0861,                0.69386,                      1,                  0.945,                0.75903,                0.78025,                 1.7322,                 1.1921,              0.0010768,              0.0010768,              0.0010768
                     73,                0.80658,                0.88266,                 1.0904,                0.69386,                      1,                  0.945,                0.75903,                0.78025,                 1.7322,                 1.1921,              0.0010743,              0.0010743,              0.0010743
                     74,                0.74801,                0.86052,                 1.0819,                0.72289,                      1,                   0.97,                0.77597,                 0.8506,                 1.6671,                 1.2839,              0.0010718,              0.0010718,              0.0010718
                     75,                0.90092,                0.95214,                 1.1155,                0.75799,                      1,                  0.995,                0.79597,                0.87337,                 1.5997,                 1.3861,              0.0010693,              0.0010693,              0.0010693
                     76,                0.88022,                0.98684,                 1.1693,                0.78876,                      1,                   0.97,                 0.7859,                0.76014,                 1.4757,                  1.265,              0.0010669,              0.0010669,              0.0010669
                     77,                0.78018,                0.88286,                  1.092,                0.78876,                      1,                   0.97,                 0.7859,                0.76014,                 1.4757,                  1.265,              0.0010644,              0.0010644,              0.0010644
                     78,                0.85783,                 0.9232,                 1.1653,                 0.7101,                      1,                0.86167,                0.70733,                0.85405,                 1.7143,                 1.3855,              0.0010619,              0.0010619,              0.0010619
                     79,                 0.7753,                0.81357,                 1.1007,                0.71118,                      1,                0.83667,                0.66505,                0.94324,                 1.7028,                 1.4619,              0.0010594,              0.0010594,              0.0010594
                     80,                0.87634,                0.95305,                 1.2029,                0.69796,                      1,                0.83667,                0.69664,                0.79233,                  1.645,                 1.2506,               0.001057,               0.001057,               0.001057
                     81,                0.85315,                0.93119,                 1.1264,                0.69796,                      1,                0.83667,                0.69664,                0.79233,                  1.645,                 1.2506,              0.0010545,              0.0010545,              0.0010545
                     82,                0.75134,                0.85551,                 1.0895,                0.64149,                      1,                0.83667,                0.67664,                0.68936,                 1.6216,                 1.0822,               0.001052,               0.001052,               0.001052
                     83,                0.74213,                0.83189,                 1.0878,                0.62785,                      1,                0.81217,                0.69845,                0.63937,                 1.6804,                 1.0452,              0.0010495,              0.0010495,              0.0010495
                     84,                0.72767,                0.80496,                 1.0913,                0.61613,                0.99248,                 0.7705,                0.65475,                0.65975,                 1.6809,                 1.0637,               0.001047,               0.001047,               0.001047
