                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1723,                  3.244,                  1.479,                0.00716,                      1,                 0.2015,                0.13342,                0.99179,                 3.8149,                 1.5492,                2.5e-05,                2.5e-05,                2.5e-05
                      2,                 1.2558,                 3.2101,                 1.5094,                0.01058,                      1,                0.33062,                 0.2503,                0.85318,                 3.7148,                 1.4077,             6.2376e-05,             6.2376e-05,             6.2376e-05
                      3,                 1.0776,                 3.0801,                 1.3851,                0.02367,                      1,                0.52502,                0.47324,                0.63961,                 3.6332,                 1.1547,             9.9604e-05,             9.9604e-05,             9.9604e-05
                      4,                0.93152,                 2.7729,                 1.2903,                0.04605,                      1,                0.71286,                0.60436,                0.62558,                 3.5335,                 1.0722,             0.00013668,             0.00013668,             0.00013668
                      5,                0.96496,                 2.4129,                 1.2861,                0.04046,                      1,                0.69625,                0.60162,                0.67496,                 3.3323,                 1.0855,             0.00017361,             0.00017361,             0.00017361
                      6,                0.88169,                 2.1142,                 1.2501,                 0.0374,                      1,                   0.82,                0.69018,                 0.7199,                 3.1838,                 1.2275,              0.0002104,              0.0002104,              0.0002104
                      7,                0.84556,                  1.826,                 1.2288,                0.02769,                      1,                0.94143,                0.74439,                0.70534,                 3.0031,                 1.2369,             0.00024703,             0.00024703,             0.00024703
                      8,                 0.8856,                 1.7368,                 1.2558,                 0.0236,                      1,                0.91018,                0.73534,                0.68318,                 2.9475,                 1.1454,             0.00028352,             0.00028352,             0.00028352
                      9,                0.91465,                 1.6962,                  1.244,                0.85787,                0.96522,                  0.945,                0.74878,                0.69364,                 2.9588,                 1.0606,             0.00031985,             0.00031985,             0.00031985
                     10,                  0.891,                 1.5404,                 1.2383,                      1,                0.78062,                   0.97,                0.79723,                0.73652,                  2.836,                 1.0934,             0.00035604,             0.00035604,             0.00035604
                     11,                0.88886,                 1.5341,                 1.2773,                0.85302,                 0.9502,                   0.97,                0.74856,                 0.7847,                 2.3263,                 1.2342,             0.00039208,             0.00039208,             0.00039208
                     12,                0.83358,                  1.397,                 1.2216,                0.84812,                0.95896,                   0.92,                0.65507,                0.87181,                 2.1859,                 1.3316,             0.00042797,             0.00042797,             0.00042797
                     13,                0.89701,                 1.3111,                 1.1998,                 0.6175,                      1,                0.77687,                0.60707,                0.77592,                   2.14,                 1.3576,             0.00046371,             0.00046371,             0.00046371
                     14,                0.98507,                 1.4923,                 1.3412,                0.65694,                0.99657,                0.77687,                 0.6288,                0.73599,                 2.0701,                 1.3183,             0.00049931,             0.00049931,             0.00049931
                     15,                  0.823,                 1.3316,                 1.2226,                0.76778,                      1,                0.91167,                0.72529,                0.80288,                 1.9279,                  1.367,             0.00053475,             0.00053475,             0.00053475
                     16,                0.91695,                 1.3207,                 1.2018,                0.58638,                0.88217,                0.80417,                 0.6252,                0.82747,                  2.262,                 1.3887,             0.00057005,             0.00057005,             0.00057005
                     17,                0.84257,                 1.2714,                 1.1844,                0.63068,                0.97893,                0.64675,                0.47457,                0.92494,                 2.2268,                   1.48,              0.0006052,              0.0006052,              0.0006052
                     18,                 0.8088,                 1.2828,                 1.1914,                 0.5839,                0.92849,                0.72967,                0.51453,                0.88871,                 2.2744,                 1.4965,              0.0006402,              0.0006402,              0.0006402
                     19,                0.85702,                 1.2228,                 1.1478,                0.40154,                0.93191,                0.72967,                0.52487,                0.76876,                 3.5058,                 1.4276,             0.00067505,             0.00067505,             0.00067505
                     20,                0.78807,                 1.0874,                 1.1417,                0.41967,                0.95009,                0.77917,                0.61094,                0.74016,                 3.2942,                 1.3677,             0.00070976,             0.00070976,             0.00070976
                     21,                0.75947,                 1.1738,                  1.139,                 0.5081,                0.84174,                0.77917,                0.62395,                0.83787,                 2.7071,                 1.5764,             0.00074431,             0.00074431,             0.00074431
                     22,                0.80108,                 1.1281,                  1.153,                0.53212,                0.95446,                0.75417,                0.58897,                 0.8818,                 2.4834,                  1.617,             0.00077872,             0.00077872,             0.00077872
                     23,                0.82315,                 1.1248,                 1.1647,                 0.5125,                0.94911,                0.72967,                0.46683,                 1.0611,                 2.3365,                 1.6441,             0.00081297,             0.00081297,             0.00081297
                     24,                0.79289,                 1.1707,                 1.1303,                0.36861,                      1,                0.64675,                0.42049,                 1.0926,                 2.7544,                 1.7334,             0.00084708,             0.00084708,             0.00084708
                     25,                0.78702,                 1.0842,                 1.1389,                0.47483,                      1,                0.81217,                0.58504,                0.97858,                 2.8802,                  1.556,             0.00088104,             0.00088104,             0.00088104
                     26,                 0.7677,                 1.0456,                 1.1298,                0.77337,                0.98455,                   0.92,                 0.7669,                0.83041,                 2.7532,                 1.2559,             0.00091486,             0.00091486,             0.00091486
                     27,                0.91232,                 1.1912,                 1.2199,                0.83084,                      1,                   0.92,                0.73836,                0.87894,                 2.2271,                 1.5115,             0.00094852,             0.00094852,             0.00094852
                     28,                0.82867,                 1.0981,                 1.1352,                0.82108,                0.96382,                   0.92,                0.67883,                 1.0564,                 2.0442,                 1.8576,             0.00098204,             0.00098204,             0.00098204
                     29,                0.79547,                 1.0172,                 1.1044,                0.82108,                0.96382,                   0.92,                0.67883,                 1.0564,                 2.0442,                 1.8576,              0.0010154,              0.0010154,              0.0010154
                     30,                0.93721,                  1.155,                  1.268,                0.82861,                0.99427,                  0.945,                0.58767,                 1.2309,                 2.2717,                 2.0762,              0.0010486,              0.0010486,              0.0010486
                     31,                0.83925,                 1.0219,                 1.1754,                0.86961,                      1,                  0.945,                0.70176,                    1.1,                 1.9665,                  1.778,              0.0010817,              0.0010817,              0.0010817
                     32,                0.85279,                 1.0873,                 1.1915,                 0.9012,                  0.875,                   0.97,                 0.7924,                0.80526,                 1.7436,                  1.264,              0.0011146,              0.0011146,              0.0011146
                     33,                0.84805,                 1.0351,                 1.1463,                 0.9012,                  0.875,                   0.97,                 0.7924,                0.80526,                 1.7436,                  1.264,              0.0011474,              0.0011474,              0.0011474
                     34,                 1.0207,                 1.0965,                 1.2351,                0.80033,                  0.875,                   0.97,                0.82304,                0.70828,                 1.8842,                 1.1031,              0.0011683,              0.0011683,              0.0011683
                     35,                0.95128,                 1.0429,                  1.204,                0.79652,                  0.875,                   0.97,                0.76013,                0.82442,                 2.1252,                 1.2257,              0.0011683,              0.0011683,              0.0011683
                     36,                0.99339,                 1.1707,                 1.2023,                0.63262,                0.89221,                  0.945,                0.63016,                0.99084,                 2.2178,                 1.3929,              0.0011658,              0.0011658,              0.0011658
                     37,                0.86449,                 1.0523,                 1.1864,                0.63262,                0.89221,                  0.945,                0.63016,                0.99084,                 2.2178,                 1.3929,              0.0011634,              0.0011634,              0.0011634
                     38,                0.94808,                 1.2363,                 1.2482,                0.51156,                  0.875,                   0.87,                0.59272,                  1.105,                 2.5423,                 1.5733,              0.0011609,              0.0011609,              0.0011609
                     39,                0.83928,                  1.069,                 1.1313,                0.62223,                0.98697,                  0.945,                0.68381,                 1.1613,                 1.9136,                 1.7351,              0.0011584,              0.0011584,              0.0011584
                     40,                0.90817,                 1.1928,                 1.2364,                0.89031,                0.92582,                  0.995,                0.74017,                 1.0513,                 1.7738,                 1.6802,              0.0011559,              0.0011559,              0.0011559
                     41,                0.74437,                 1.1312,                 1.1443,                0.89031,                0.92582,                  0.995,                0.74017,                 1.0513,                 1.7738,                 1.6802,              0.0011535,              0.0011535,              0.0011535
                     42,                0.83845,                 1.1328,                 1.1577,                0.96067,                0.86049,                   0.97,                0.67283,                 1.2446,                  1.717,                 1.7073,               0.001151,               0.001151,               0.001151
                     43,                0.82585,                 1.0875,                 1.1474,                0.95982,                0.73764,                  0.945,                0.69378,                 1.0984,                 1.8258,                 1.4881,              0.0011485,              0.0011485,              0.0011485
                     44,                0.82448,                 1.0182,                 1.1416,                0.68647,                0.87097,                0.86021,                0.62075,                 1.0641,                 1.8731,                 1.4488,              0.0011461,              0.0011461,              0.0011461
                     45,                0.80687,                 1.0232,                 1.1327,                0.68647,                0.87097,                0.86021,                0.62075,                 1.0641,                 1.8731,                 1.4488,              0.0011436,              0.0011436,              0.0011436
                     46,                0.78245,                 1.0475,                 1.1197,                0.81144,                0.88565,                 0.8955,                0.60816,                 1.0807,                 1.8941,                  1.605,              0.0011411,              0.0011411,              0.0011411
                     47,                0.84394,                 1.0366,                 1.1753,                0.68892,                      1,                0.88667,                0.60596,                 1.0414,                 1.9303,                  1.614,              0.0011386,              0.0011386,              0.0011386
                     48,                0.89335,                 1.0559,                 1.1535,                0.67947,                0.99835,                0.88667,                0.63265,                 1.0501,                 2.0524,                 1.6441,              0.0011362,              0.0011362,              0.0011362
                     49,                0.81896,                0.97523,                   1.15,                0.67947,                0.99835,                0.88667,                0.63265,                 1.0501,                 2.0524,                 1.6441,              0.0011337,              0.0011337,              0.0011337
                     50,                0.81917,                0.93716,                 1.1702,                0.53112,                  0.875,                0.62024,                0.38201,                 1.0826,                 2.7356,                 1.5425,              0.0011312,              0.0011312,              0.0011312
                     51,                0.81755,                0.93265,                 1.1123,                0.49831,                0.84742,                0.58229,                0.28695,                 1.2115,                 3.0784,                 1.4928,              0.0011287,              0.0011287,              0.0011287
                     52,                0.88583,                 1.0273,                 1.2047,                0.49128,                 0.7252,                0.50901,                0.28133,                 1.4518,                 2.8561,                 1.8643,              0.0011263,              0.0011263,              0.0011263
                     53,                0.80908,                0.98682,                 1.1504,                0.49128,                 0.7252,                0.50901,                0.28133,                 1.4518,                 2.8561,                 1.8643,              0.0011238,              0.0011238,              0.0011238
                     54,                0.85691,                   1.05,                 1.1487,                0.49996,                0.74365,                0.56793,                0.26819,                  1.769,                 2.4949,                 2.3653,              0.0011213,              0.0011213,              0.0011213
                     55,                0.74729,                0.93798,                 1.0887,                0.83504,                0.74899,                  0.845,                0.48113,                 1.3926,                 2.1282,                 1.9174,              0.0011188,              0.0011188,              0.0011188
